pj_no	jukyo	chiseki_js_hb	chiseki_kb_hb	yoto1	yoto2	kempei1	kempei2	yoseki1	yoseki2	josui	gesui	gas	usui	tateuri_su	tochiuri_su	joken_su	hy1f_date_su	hy2f_date_su	hy3f_date_su	road1_hk	road1_sb	road1_fi	road1_mg	road2_hk	road2_sb	road2_fi	road2_mg	road3_hk	road3_sb	road3_fi	road3_mg	road4_hk	road4_sb	road4_fi	road4_mg	kaoku_um	kaoku_hb	yheki_kotei	yheki_umu	yheki_yohi	gk_sho_kyori	gk_chu_kyori	kborjs	hw_status	toshikuiki1	toshikuiki2	kodochiku	chikukeikaku	keikakuroad	kaihatsukyoka	t53kyoka	hokakyoka	bokachiiki	minmenseki	hokakisei1	hokakisei2	hokakisei3	hokakisei4	kinshijiko	rosenka_hb	koji_hb	kijun_hb	mseki_yt_hb	mseki_rd_hb	mseki_dp_hb	tc_mseki_min_hb	tc_mseki_max_hb	tt_mseki_min_hb	tt_mseki_max_hb	tc_mseki_avg_hb	tt_mseki_avg_hb	fi4m_yohi	fi3m_yohi	fi4m_kyori	fi3m_kyori	bus_yohi	bus_hon	sho_conv	sho_super	sho_shoten	sho_market	shu_jutaku	shu_park	shu_shop	shu_factory	shu_hvline	shu_tower	shu_bochi	shu_sogi	shu_zoki	shu_kokyo	shu_highway	shu_kaido	shu_line_ari	shu_line_nashi	shu_soon	gk_yoc_tm	gk_sho_tm	gk_chu_tm	rs_e_kdate2	rs_e_kdate3	rs_e_parking	rs_e_zoki	rs_e_m_ari	rs_e_m_nashi	rs_e_tahata	rs_w_kdate2	rs_w_kdate3	rs_w_parking	rs_w_zoki	rs_w_m_ari	rs_w_m_nashi	rs_w_tahata	rs_s_kdate2	rs_s_kdate3	rs_s_parking	rs_s_zoki	rs_s_m_ari	rs_s_m_nashi	rs_s_tahata	rs_n_kdate2	rs_n_kdate3	rs_n_parking	rs_n_zoki	rs_n_m_ari	rs_n_m_nashi	rs_n_tahata	rosen_nm1	eki_nm1	bas_toho1	eki_kyori1	bastei_nm1	teiho1	rosen_nm2	eki_nm2	bas_toho2	eki_kyori2	bastei_nm2	teiho2
142	埼玉県さいたま市岩槻区諏訪	220.0	220.0	第一種低層住居専用地域		60	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北東	公道	6.0	9.7			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	500	900	公簿	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	68000	77700	85300	220.0	0.0	0.0	100.0	120.0	87.48	103.47	110.0	95.47	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															10.0	7	12	○																					○							東武野田線	岩槻	バス	10		6.0						
143	埼玉県北葛飾郡杉戸町大字杉戸字十八丁	330.54	330.54	第一種低層住居専用地域		60	0.0	200	0.0	公営	公共下水	集中プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北東	公道	8.0	10.7	南西	公道	4.0	10.7			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	880	800	公簿	更地	市街化調整区域		指定無	（無）	（無）	（要）	（不要）	（不要）	22条区域						（無）	43000	61300	63100	330.54	0.0	0.0	165.25	165.29	108.47	109.3	165.27	108.88	（不要）	（不要）	0.0	0.0	（不要）		○				○															2.0	11	10	○							○							○							○							東武伊勢崎線	東武動物公園	徒歩	24								
144	埼玉県さいたま市桜区大字大久保領家	233.52	180.0	第二種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	2.0				2.0		西	公道	4.5	15.7			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	470	1230	実測	田・畑	市街化区域		その他	（無）	（無）	（不要）	（不要）	（不要）	準防火地域	0.0	農地法				（無）	100000	129000	129000	233.52	0.0	0.0	107.84	125.68	97.55	0.0	116.76	97.55	（不要）	（不要）	0.0	0.0	（要）	25.0		○			○															3.0	6	16	○												○			○						○							JR埼京線	与野本町	バス	14	西中	3.0						
145	埼玉県草加市稲荷	488.0	488.0	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	西	公道	7.6	22.4			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	200	1160	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	91000	108000	121000	488.0	0.0	0.0	114.0	127.0	105.0	115.0	122.0	109.0	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															6.0	3	15			○												○														東武伊勢崎線	草加	徒歩	28								
146	埼玉県草加市青柳	98.7	98.7	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	公共下水	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	4.0	8.7			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	300	1100	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	120.0					（無）	76000	98800	95000	98.7	0.0	0.0	98.7	98.7	96.0	96.0	98.7	96.0	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															5.0	4	14	○							○							○														JR武蔵野線	越谷レイクタウン	徒歩	30								
147	埼玉県八潮市大字古新田	99.24	99.24	第一種中高層住居専用地域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	4.0	8.8			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（有）	（不要）	380	1100	実測	更地	市街化区域		第2種	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	100.0					（無）	92000	114000	102000	99.24	0.0	0.0	99.24	99.24	92.34	92.34	99.24	92.34	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															15.0	5	14	○							○							○							○							首都圏新都市鉄道つくばエクスプレス	八潮	徒歩	19								
148	埼玉県桶川市大字加納	195.24	195.24	指定のない区域		60	0.0	200	0.0	公営	個別浄化槽	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	5.0	10.6			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.6	（無）	（不要）	1470	650	実測	更地	市街化調整区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無		景観法				（無）	0	80000	71300	195.24	0.0	0.0	195.24	195.24	95.0	95.0	195.24	95.0	（不要）	（不要）	0.0	0.0	（要）	68.0					○															20.0	19	9							○								○							○							JR高崎線	桶川	バス	15		4.0						
149	埼玉県草加市瀬崎	103.0	103.0	準工業地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	4.0	8.6	北東	公道	0.9	0.9			0.0	0.0			0.0	0.0	（無）	0.0	2.4	（有）	（不要）	400	400	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	93000	119000	134000	103.0	0.0	0.0	103.0	103.0	99.37	99.37	103.0	99.37	（不要）	（不要）	0.0	0.0	（要）	48.0	○	○			○															5.0	5	5															○							○							東武伊勢崎線	谷塚	徒歩	13								
150	埼玉県さいたま市西区大字指扇	460.53	460.53	第一種住居地域	第一種中高層住居専用地域	60	60.0	200	200.0	公営	公共下水	個別プロパン	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	北	公道	2.1	22.4			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	630	830	実測	造成上り	市街化区域		その他	（無）	（無）	（不要）	（不要）	（要）	22条区域		農地法				（無）	82000	125000	125000	460.53	0.0	0.0	113.1	117.1	93.0	93.0	115.13	93.0	（要）	（要）	5.0	5.0	（不要）		○	○			○													○		23.0	8	11	○	○													○	○													JR川越線	指扇	徒歩	7								
151	埼玉県狭山市大字水野	227.03	227.03	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	2.0				2.0		西	公道	6.0	12.4			0.0	0.0			0.0	0.0			0.0	0.0	（有）	128.76	0.3	（無）	（不要）	1680	2400	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	92000	117000	117000	227.03	0.0	0.0	113.51	113.51	88.75	88.75	113.51	88.75	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															12.0	21	30	○														○							○							西武新宿線	入曽	徒歩	13								
152	埼玉県入間郡三芳町大字藤久保	68.33	68.33	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	0.0	1.0	南西	私道	4.0	7.3			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	700	1800	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域		景観法				（無）	130000	140000	181000	68.33	0.0	0.0	68.33	68.33	93.0	93.0	68.33	93.0	（不要）	（不要）	0.0	0.0	（不要）						○															4.0	9	23	○														○							○							東武東上線	鶴瀬	徒歩	13								
153	埼玉県川口市安行出羽	479.78	479.0	第一種低層住居専用地域		50	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	西	公道	6.0	16.1	南	公道	6.0	26.1			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	140	860	実測	更地	市街化区域		指定無	（有）	（無）	（不要）	（不要）	（不要）	防火指定無	130.0	安行出羽地区地区計画				（無）	110000	137000	118000	479.78	0.0	0.0	159.66	159.88	108.06	108.89	159.92	108.47	（不要）	（不要）	0.0	0.0	（不要）						○															12.0	2	11							○	○							○							○							埼玉高速鉄道線	戸塚安行	徒歩	23								
154	埼玉県志木市志木市	65.05	65.05	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	0.0	1.0	東	公道	4.0	7.2			0.0	0.0			0.0	0.0			0.0	0.0	（有）	43.95	0.2	（無）	（不要）	343	618	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	185000	237000	234000	65.05	0.0	0.0	65.05	65.05	95.0	95.0	65.05	95.0	（不要）	（不要）	0.0	0.0	（不要）		○				○															8.0	5	8	○								○							○							○						東武東上線	柳瀬川	徒歩	8								
155	埼玉県狭山市柏原	1179.08	1169.83	指定のない区域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	東	私道	6.5	41.1			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	1100	1000	実測	造成上り	市街化調整区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	0	38600	47000	481.46	93.15	604.47	160.48	160.49	105.99	105.99	160.48	105.99	（不要）	（不要）	0.0	0.0	（要）	70.0																				18.0	14	13							○							○							○	○							西武新宿線	狭山市	バス	10		9.0						
156	埼玉県さいたま市桜区中島	206.84	424.59	第一種低層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	1.0	1.0	西	公道	4.0	9.7			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	480	560	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	145000	172000	173000	206.84	0.0	0.0	102.0	104.84	99.18	105.79	103.42	103.08	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															4.0	6	7					○					○									○			○							JR埼京線	南与野	徒歩	11								
157	埼玉県川口市差間	773.87	773.87	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	7.0	0.0	0.0	0.0	7.0	0.0	東	公道	6.0	22.4	南	公道	6.0	21.0	北	公道	6.2	7.6			0.0	0.0	（有）	153.33	0.8	（無）	（不要）	650	2650	実測	更地	市街化区域		指定無	（無）	（無）	（要）	（不要）	（要）	22条区域	100.0	景観法				（無）	120000	131000	121000	770.67	0.0	3.2	105.09	121.49	93.0	93.0	110.09	93.0	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															19.0	9	34								○							○														JR武蔵野線	東川口	徒歩	19								
158	埼玉県八潮市緑町	463.86	463.86	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	4.0				4.0	0.0	東	公道	12.0	38.5	北	公道	6.0	9.1			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	872	478	実測	更地	市街化区域		第2種	（無）	（無）	（不要）	（不要）	（要）	準防火地域	100.0	景観法				（無）	105000	135000	105000	460.63	0.0	3.23	110.5	129.13	93.0	93.0	115.15	93.0	（不要）	（不要）	0.0	0.0	（要）	24.0		○			○															19.0	11	6								○							○							○							首都圏新都市鉄道つくばエクスプレス	八潮	徒歩	29								
159	埼玉県所沢市大字上安松	248.18	248.18	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北	公道	4.0	2.0	西	私道	4.0	4.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	1050	1900	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	95000	148000	0	248.18	0.0	0.0	107.69	140.49	81.0	100.0	124.09	90.5	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															2.0	14	24								○							○							○							JR武蔵野線	新秋津	徒歩	7								
160	埼玉県八潮市大字大瀬字根郷	252.08	252.09	第一種中高層住居専用地域		60	0.0	200	0.0	公営	個別浄化槽	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	西	公道	6.0	10.7			0.0	0.0			0.0	0.0			0.0	0.0	（有）	233.28	0.0	（無）	（不要）	240	1280	公簿	造成上り	市街化区域		第2種	（無）	（無）	（不要）	（不要）	（不要）	22条区域	0.0					（無）	81000	101000	245000	252.08	0.0	0.0	119.23	132.85	99.18	99.18	126.04	99.18	（不要）	（不要）	0.0	0.0	（不要）	0.0	○				○															29.0	3	16		○													○							○							首都圏新都市鉄道つくばエクスプレス	八潮	徒歩	21								
161	埼玉県久喜市青葉	661.57	661.08	第一種低層住居専用地域		60		100		公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	東	公道	6.0	23.6	西	公道	10.0	27.6	南	公道	4.0	30.0			0.0	0.0	（有）	149.88	0.1	（無）	（不要）	400	850	実測	更地	市街化区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無	120.0					（無）	57000	70700	64700	558.1	100.87	2.6	140.12	140.25	105.79	105.79	139.52	105.79	（不要）	（不要）	0.0	0.0	（不要）			○			○	○														9.0	5	11	○			○																		○							JR東北本線【宇都宮線】	久喜	徒歩	29								
162	埼玉県草加市青柳	144.02	144.02	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	4.0	13.1			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	970	470	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	120.0					（無）	72000	92300	95000	144.02	0.0	0.0	144.02	144.02	98.0	98.0	144.02	98.0	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															19.0	13	6															○							○							JR武蔵野線	越谷レイクタウン	徒歩	35								
163	埼玉県八潮市緑町	225.2	225.25	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	1.0	1.0	南	公道	5.0	5.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	450	550	実測	造成上り	市街化区域		第2種	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	94000	117000	113000	225.2	0.0	0.0	102.28	122.92	95.98	109.35	112.6	102.66	（不要）	（不要）	0.0	0.0	（要）	52.0	○	○			○															14.0	6	7	○							○																					東武伊勢崎線	草加	バス	15		3.0						
164	埼玉県さいたま市西区三橋	644.21	949.0	第二種低層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	西	公道	4.0	7.8	東	公道	7.0	12.0	南	公道	4.0	21.1			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	1700	490	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	0.0	埋蔵文化財	景観地区			（無）	79000	112000	113000	644.21	0.0	0.0	135.75	144.85	104.75	108.68	161.05	105.83	（不要）	（不要）	0.0	0.0	（不要）			○			○															10.0	22	7										○												○							JR川越線	西大宮	徒歩	18								
165	埼玉県所沢市宮本町	333.22	332.0	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	北	公道	4.0	16.1			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	1120	1120	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	135000	177000	177000	333.22	0.0	0.0	101.0	117.0	88.0	88.0	111.07	88.0	（不要）	（不要）	0.0	0.0	（不要）						○															19.0	14	14	○							○							○														西武新宿線	航空公園	徒歩	10								
166	埼玉県所沢市星の宮	253.65	390.79	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	西	公道	4.0	12.9			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	640	1200	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	130000	167000	197000	390.79	0.0	0.0	123.42	130.23	102.67	103.5	195.39	103.08	（不要）	（不要）	0.0	0.0	（不要）		○				○															6.0	8	15	○																○					○							西武池袋線	所沢	徒歩	16								
167	埼玉県鶴ヶ島市大字下新田	100.02	100.02	第一種住居地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	6.0	8.0			0.0	0.0			0.0	0.0			0.0	0.0	（有）	77.0	0.3	（無）	（不要）	1300	2200	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	69000	91600	87000	100.02	0.0	0.0	100.02	100.02	102.06	102.06	100.02	102.06	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															11.0	17	28	○														○							○							東武東上線	坂戸	徒歩	22								
168	埼玉県所沢市緑町	66.98	66.98	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	私道	4.0	7.1			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	480	640	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	準防火地域						（無）	155000	204000	178000	66.98	0.0	0.0	66.98	66.98	73.28	73.28	66.98	73.28	（不要）	（不要）	0.0	0.0	（不要）		○	○	○		○															10.0	6	8								○							○												○		西武新宿線	新所沢	徒歩	10								
169	埼玉県草加市瀬崎	110.55	110.55	第一種低層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	側溝	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	4.2	7.7	南	私道	4.0	9.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	350	900	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無	100.0	景観法				（無）	100000	120000	134000	88.44	22.11	0.0	88.44	88.44	96.47	96.47	88.44	96.47	（不要）	（不要）	0.0	0.0	（不要）	0.0	○	○			○															6.0	5	12						○		○								○						○							東武伊勢崎線	谷塚	徒歩	6					徒歩			
170	埼玉県川越市大字南田島	192.61	192.61	第一種低層住居専用地域		50	0.0	80	0.0	公営	個別浄化槽	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北東	公道	2.4	2.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	700	1450	実測	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	22条区域		景観法				（無）	83000	110000	106000	192.61	0.0	0.0	192.61	192.61	96.0	96.0	192.61	96.0	（要）	（不要）	60.0	0.0	（不要）																					21.0	9	19	○							○														○							JR川越線	南古谷	徒歩	15								
171	埼玉県日高市大字原宿	499.6	596.96	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	個別プロパン	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	北西	公道	5.4	32.3	南西	公道	3.8	13.2			0.0	0.0			0.0	0.0	（有）	96.35	0.2	（無）	（不要）	1040	480	実測	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	48000	56000	62300	596.96	0.0	0.0	124.61	125.01	95.63	96.88	149.24	96.25	（不要）	（不要）	0.0	0.0	（不要）						○															14.0	13	6															○														JR八高線(八王子～高麗川)	高麗川	徒歩	7								
172	埼玉県越谷市花田	194.67	194.0	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	6.0	9.6			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	400	1400	公簿	田・畑	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無						（無）	80000	103000	110000	194.67	0.0	0.0	194.67	194.67	105.99	105.99	194.67	105.99	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															13.0	5	18	○							○							○							○							東武伊勢崎線	北越谷	徒歩	25								
173	埼玉県坂戸市大字片柳	150.81	150.81	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	6.0	9.6			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.6	（無）	（不要）	700	2000	実測	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無						（無）	0	72000	70000	150.81	0.0	0.0	150.81	150.81	105.98	105.98	150.81	105.98	（不要）	（不要）	0.0	0.0	（不要）		○				○															10.0	9	25							○			○																			東武東上線	北坂戸	徒歩	10								
174	埼玉県富士見市水谷東	227.24	227.24	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	西	公道	4.5	13.9			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	600	500	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	86000	131000	0	227.24	0.0	0.0	113.62	113.62	99.0	99.0	113.62	99.0	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															10.0	8	7	○							○														○							東武東上線	柳瀬川	徒歩	23								
175	埼玉県さいたま市西区大字指扇	591.31	591.31	第一種住居地域	第二種住居地域	60	60.0	200	200.0	公営	公共下水	都市ガス	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	北	公道	2.5	29.1	東	公道	1.8	32.9									（無）	0.0	1.55	（無）	（要）	1700	1500	実測	建物有	市街化区域		指定無	（無）	（有）	（要）	（不要）	（不要）	防火指定無		景観法				（無）	82000	126000	114000	588.78	0.0	2.53	143.13	148.97	104.34	105.99	147.19	105.37	（要）	（不要）	100.0		（不要）		○				○															15.0	22	19								○							○							○						○	JR川越線	西大宮	徒歩	15					徒歩			
176	埼玉県川越市大字小室	138.14	138.0	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	5.0	14.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	390	1500	公簿	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	0.0		農地法			（無）	91000	115000	108000	138.14	0.0	0.0	138.14	138.14	104.74	104.74	138.14	104.73	（不要）	（不要）	0.0	0.0	（不要）		○				○															19.0	5	19	○							○							○							○							JR川越線	西川越	徒歩	5								
177	埼玉県さいたま市見沼区大字染谷字中通南	314.5	314.5	指定のない区域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	5.4	18.4			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	800	750	公簿	更地	市街化区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無						（無）	0	42600	99000	314.5	0.0	0.0	155.78	158.72	105.58	105.77	157.25	105.67	（不要）	（不要）	0.0	0.0	（不要）																					7.0	10	10	○							○							○							○							JR東北本線【宇都宮線】	大宮	バス	15		6.0						
178	埼玉県久喜市菖蒲町菖蒲	549.19	549.19	第一種住居地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	北西	公道	3.6	22.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	250	1600	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	0.0					（無）	27800	38300	41200	545.0	4.19	0.0	170.0	187.5	110.0	110.0	183.06	110.0	（不要）	（不要）	0.0	0.0	（要）	83.0					○															12.0	4	20	○														○							○							JR東北本線【宇都宮線】	久喜	バス	16		5.0						
179	埼玉県入間郡毛呂山町大字市場	172.89	176.37	第一種低層住居専用地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	5.6	9.6	西	公道	3.5	12.8	南	公道	4.5	13.0			0.0	0.0	（有）	27.32	2.0	（有）	（要）	160	400	実測	造成上り	市街化調整区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無						（無）	35000	43800	43900	176.37	0.0	0.0	172.72	172.72	107.64	107.64	176.37	107.64	（不要）	（不要）	0.0	0.0	（不要）		○				○															23.0	2	5	○							○																					東武越生線	川角	徒歩	11								
180	埼玉県蓮田市関山	160.71	160.71	第一種低層住居専用地域		60	0.0	100	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南西	公道	6.0	12.4	南東	公道	3.8	12.9	北東	公道	4.2	12.4			0.0	0.0	（有）	118.82	0.6	（有）	（不要）	700	850	実測	建物有	市街化区域		指定無	（有）	（無）	（不要）	（不要）	（要）	22条区域	150.0	河川法	景観法			（無）	74000	90100	90700	160.71	0.0	0.0	160.71	160.71	95.0	95.0	160.71	95.0	（不要）	（不要）	0.0	0.0	（不要）						○															11.0	9	11	○							○																					JR東北本線【宇都宮線】	蓮田	徒歩	20								
181	埼玉県北足立郡伊奈町栄	902.36	900.0	第一種住居地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	5.0	0.0	0.0	0.0	5.0	0.0	東	公道	4.0	18.5			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	950	1590	実測	更地	市街化区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無	120.0					（無）	67000	103000	103000	902.36	0.0	0.0	151.16	159.89	108.06	108.68	180.47	108.47	（不要）	（不要）	0.0	0.0	（不要）		○				○															11.0	12	20								○								○							○						JR東北本線【宇都宮線】	蓮田	徒歩	17								
